# x, Trad, Tgas
6.890070517453e-03, 1.259876983196e+00, 1.054670842506e+00
6.920898573460e-03, 1.265293522948e+00, 1.056169544196e+00
6.951726629466e-03, 1.270824449680e+00, 1.057837218596e+00
6.982554685473e-03, 1.276408914006e+00, 1.059480386723e+00
7.013382741479e-03, 1.282107742976e+00, 1.061209758277e+00
7.044210797486e-03, 1.287861708069e+00, 1.062934407951e+00
7.075038853492e-03, 1.293730184000e+00, 1.064786343417e+00
7.105866909499e-03, 1.299655275967e+00, 1.066591601146e+00
7.136694965505e-03, 1.305695003635e+00, 1.068548475656e+00
7.167523021512e-03, 1.311792729664e+00, 1.070505231583e+00
7.198351077518e-03, 1.318005293225e+00, 1.072526762674e+00
7.229179133525e-03, 1.324276899712e+00, 1.074558452523e+00
7.260007189531e-03, 1.330663543672e+00, 1.076773607231e+00
7.290835245538e-03, 1.337110472002e+00, 1.078942898666e+00
7.321663301544e-03, 1.343672384166e+00, 1.081179518206e+00
7.352491357551e-03, 1.350295645560e+00, 1.083483649044e+00
7.383319413557e-03, 1.357033966202e+00, 1.085956699474e+00
7.414147469564e-03, 1.363834980565e+00, 1.088377456337e+00
7.444975525570e-03, 1.370750589166e+00, 1.090864519193e+00
7.475803581577e-03, 1.377730162946e+00, 1.093453299976e+00
7.506631637583e-03, 1.384823933491e+00, 1.096217057001e+00
7.537459693590e-03, 1.391983283591e+00, 1.098917211085e+00
7.568287749596e-03, 1.399255767246e+00, 1.101682599485e+00
7.599115805603e-03, 1.406595516233e+00, 1.104585878111e+00
7.629943861609e-03, 1.414047513991e+00, 1.107675884005e+00
7.660771917616e-03, 1.421568844671e+00, 1.110698858397e+00
7.691599973622e-03, 1.429200796885e+00, 1.113763366652e+00
7.722428029629e-03, 1.436904122152e+00, 1.117011511903e+00
7.753256085635e-03, 1.444716776237e+00, 1.120476512537e+00
7.784084141642e-03, 1.452603231378e+00, 1.123845718865e+00
7.814912197648e-03, 1.460596936494e+00, 1.127264803189e+00
7.845740253655e-03, 1.468666629602e+00, 1.130893965535e+00
7.876568309661e-03, 1.476842012622e+00, 1.134729629874e+00
7.907396365668e-03, 1.485095780104e+00, 1.138509163340e+00
7.938224421674e-03, 1.493453102444e+00, 1.142359784218e+00
7.969052477681e-03, 1.501890829283e+00, 1.146374017737e+00
7.999880533687e-03, 1.510430542525e+00, 1.150605326445e+00
8.030708589694e-03, 1.519052680004e+00, 1.154879063414e+00
8.061536645700e-03, 1.527775093566e+00, 1.159193769432e+00
8.092364701707e-03, 1.536581238953e+00, 1.163605453041e+00
8.123192757713e-03, 1.545486425962e+00, 1.168317615599e+00
8.154020813720e-03, 1.554476786502e+00, 1.173137990368e+00
8.184848869726e-03, 1.563565226445e+00, 1.177918432427e+00
8.215676925733e-03, 1.572739170305e+00, 1.182800348464e+00
8.246504981739e-03, 1.582010712056e+00, 1.188071192423e+00
8.277333037746e-03, 1.591368357042e+00, 1.193450175730e+00
8.308161093752e-03, 1.600823355272e+00, 1.198739712790e+00
8.338989149759e-03, 1.610363721996e+00, 1.204183621950e+00
8.369817205765e-03, 1.620001816640e+00, 1.210066357973e+00
8.400645261772e-03, 1.629725047375e+00, 1.216034820664e+00
8.431473317778e-03, 1.639546398969e+00, 1.221896091558e+00
8.462301373785e-03, 1.649451339548e+00, 1.227988521934e+00
8.493129429791e-03, 1.659455385800e+00, 1.234532830639e+00
8.523957485798e-03, 1.669542194784e+00, 1.241111688927e+00
8.554785541804e-03, 1.679728732785e+00, 1.247607467490e+00
8.585613597811e-03, 1.689996267399e+00, 1.254409583509e+00
8.616441653817e-03, 1.700364693956e+00, 1.261685423157e+00
8.647269709824e-03, 1.710813228450e+00, 1.268961180207e+00
8.678097765830e-03, 1.721362838112e+00, 1.276152204952e+00
8.708925821837e-03, 1.731990885271e+00, 1.283698208971e+00
8.739753877843e-03, 1.742720587085e+00, 1.291783548839e+00
8.770581933850e-03, 1.753528389733e+00, 1.299857039549e+00
8.801409989856e-03, 1.764437087288e+00, 1.307788143152e+00
8.832238045863e-03, 1.775422816373e+00, 1.316094986866e+00
8.863066101869e-03, 1.786508879069e+00, 1.325043619847e+00
8.893894157876e-03, 1.797672655710e+00, 1.334062788807e+00
8.924722213882e-03, 1.808934718390e+00, 1.342827409734e+00
8.955550269889e-03, 1.820274137086e+00, 1.351896051991e+00
8.986378325895e-03, 1.831709778888e+00, 1.361739875495e+00
9.017206381902e-03, 1.843224760141e+00, 1.371792988275e+00
9.048034437908e-03, 1.854832831973e+00, 1.381554997848e+00
9.078862493915e-03, 1.866520622762e+00, 1.391424052683e+00
9.109690549921e-03, 1.878297833937e+00, 1.402148732105e+00
9.140518605928e-03, 1.890157586327e+00, 1.413316346953e+00
9.171346661934e-03, 1.902102982195e+00, 1.424201034281e+00
9.202174717941e-03, 1.914131572373e+00, 1.434962264463e+00
9.233002773947e-03, 1.926240964390e+00, 1.446525656932e+00
9.263830829954e-03, 1.938436314328e+00, 1.458840128718e+00
9.294658885960e-03, 1.950708901811e+00, 1.471041720009e+00
9.325486941967e-03, 1.963066465709e+00, 1.482816065567e+00
9.356314997973e-03, 1.975486472026e+00, 1.495158786842e+00
9.387143053980e-03, 1.988030229634e+00, 1.508555907719e+00
9.417971109986e-03, 2.000608956500e+00, 1.522229593078e+00
9.448799165993e-03, 2.013283350998e+00, 1.535208095424e+00
9.479627221999e-03, 2.026028371496e+00, 1.548313394058e+00
