# x, Trad, Tgas
6.536865234375e-03, 1.205291918444e+00, 1.039879972500e+00
6.567626953125e-03, 1.209940858182e+00, 1.041254738317e+00
6.598388671875e-03, 1.214454275775e+00, 1.042219827105e+00
6.629150390625e-03, 1.219257776341e+00, 1.043713382477e+00
6.659912109375e-03, 1.223929340061e+00, 1.044674832069e+00
6.690673828125e-03, 1.228889438612e+00, 1.046211406373e+00
6.721435546875e-03, 1.233721414917e+00, 1.047336909066e+00
6.752197265625e-03, 1.238840265414e+00, 1.048941412759e+00
6.782958984375e-03, 1.243834889874e+00, 1.050043984306e+00
6.813720703125e-03, 1.249114502187e+00, 1.051776720684e+00
6.844482421875e-03, 1.254274112511e+00, 1.053049112463e+00
6.875244140625e-03, 1.259716474274e+00, 1.054778603890e+00
6.906005859375e-03, 1.265042932141e+00, 1.056068801186e+00
6.936767578125e-03, 1.270649791635e+00, 1.058010364853e+00
6.967529296875e-03, 1.276145165612e+00, 1.059415076804e+00
6.998291015625e-03, 1.281918267263e+00, 1.061310115757e+00
7.029052734375e-03, 1.287584253041e+00, 1.062840665798e+00
7.059814453125e-03, 1.293525369745e+00, 1.064957286520e+00
7.090576171875e-03, 1.299363704835e+00, 1.066520721457e+00
7.121337890625e-03, 1.305474175005e+00, 1.068649073998e+00
7.152099609375e-03, 1.311486360345e+00, 1.070406388794e+00
7.182861328125e-03, 1.317767756162e+00, 1.072708273670e+00
7.213623046875e-03, 1.323955193704e+00, 1.074475264974e+00
7.244384765625e-03, 1.330408598673e+00, 1.076857088887e+00
7.275146484375e-03, 1.336772558626e+00, 1.078862274666e+00
7.305908203125e-03, 1.343399424097e+00, 1.081366159388e+00
7.336669921875e-03, 1.349941149036e+00, 1.083363158142e+00
7.367431640625e-03, 1.356742448318e+00, 1.086053001327e+00
7.398193359375e-03, 1.363463057195e+00, 1.088308090583e+00
7.428955078125e-03, 1.370439953843e+00, 1.091022460081e+00
7.459716796875e-03, 1.377340298684e+00, 1.093323453319e+00
7.490478515625e-03, 1.384493760185e+00, 1.096334909545e+00
7.521240234375e-03, 1.391574943845e+00, 1.098826202766e+00
7.552001953125e-03, 1.398905710674e+00, 1.101818926985e+00
7.582763671875e-03, 1.406168363528e+00, 1.104486629327e+00
7.613525390625e-03, 1.413677362081e+00, 1.107790370234e+00
7.644287109375e-03, 1.421122426800e+00, 1.110544644498e+00
7.675048828125e-03, 1.428810044307e+00, 1.113917245179e+00
7.705810546875e-03, 1.436437985103e+00, 1.116958351561e+00
7.736572265625e-03, 1.444305031382e+00, 1.120542352771e+00
7.767333984375e-03, 1.452116568259e+00, 1.123634104039e+00
7.798095703125e-03, 1.460163458402e+00, 1.127457277858e+00
7.828857421875e-03, 1.468159181432e+00, 1.130856237425e+00
7.859619140625e-03, 1.476386402812e+00, 1.134752192359e+00
7.890380859375e-03, 1.484566469332e+00, 1.138269941463e+00
7.921142578125e-03, 1.492974403566e+00, 1.142561751024e+00
7.951904296875e-03, 1.501339395643e+00, 1.146321200484e+00
7.982666015625e-03, 1.509928003250e+00, 1.150610140030e+00
8.013427734375e-03, 1.518477733876e+00, 1.154621331863e+00
8.044189453125e-03, 1.527247413201e+00, 1.159381250896e+00
8.074951171875e-03, 1.535982524017e+00, 1.163542331459e+00
8.105712890625e-03, 1.544933374522e+00, 1.168305834115e+00
8.136474609375e-03, 1.553853794794e+00, 1.172856877812e+00
8.167236328125e-03, 1.562986110846e+00, 1.178106628225e+00
8.197998046875e-03, 1.572091859336e+00, 1.182722267928e+00
8.228759765625e-03, 1.581404735425e+00, 1.188020713040e+00
8.259521484375e-03, 1.590696165878e+00, 1.193150671552e+00
8.290283203125e-03, 1.600190502650e+00, 1.198935692857e+00
8.321044921875e-03, 1.609665832897e+00, 1.204073331747e+00
8.351806640625e-03, 1.619341623992e+00, 1.209967313050e+00
8.382568359375e-03, 1.629000438725e+00, 1.215730519904e+00
8.413330078125e-03, 1.638857994451e+00, 1.222100037361e+00
8.444091796875e-03, 1.648700370092e+00, 1.227806169689e+00
8.474853515625e-03, 1.658739083618e+00, 1.234357076981e+00
8.505615234375e-03, 1.668764183342e+00, 1.240810112356e+00
8.536376953125e-03, 1.678983591578e+00, 1.247837001457e+00
8.567138671875e-03, 1.689190628481e+00, 1.254162357334e+00
8.597900390625e-03, 1.699590190983e+00, 1.261433029021e+00
8.628662109375e-03, 1.709978955259e+00, 1.268654757854e+00
8.659423828125e-03, 1.720560687509e+00, 1.276392804923e+00
8.690185546875e-03, 1.731125953613e+00, 1.283392815835e+00
8.720947265625e-03, 1.741889648446e+00, 1.291435268479e+00
8.751708984375e-03, 1.752631875260e+00, 1.299499251852e+00
8.782470703125e-03, 1.763576506358e+00, 1.308015281661e+00
8.813232421875e-03, 1.774492889621e+00, 1.315766019887e+00
8.843994140625e-03, 1.785617462507e+00, 1.324674459011e+00
8.874755859375e-03, 1.796708594429e+00, 1.333622180775e+00
8.905517578125e-03, 1.808012900446e+00, 1.342941952106e+00
8.936279296875e-03, 1.819273383126e+00, 1.351533480424e+00
