# x, vel
6.813720703125e-03, 5.170887098532e+07
6.844482421875e-03, 5.170146927657e+07
6.875244140625e-03, 5.169767154315e+07
6.906005859375e-03, 5.168980457660e+07
6.936767578125e-03, 5.168583730798e+07
6.967529296875e-03, 5.167754724200e+07
6.998291015625e-03, 5.167328099716e+07
7.029052734375e-03, 5.166451178709e+07
7.059814453125e-03, 5.165992101764e+07
7.090576171875e-03, 5.165106701836e+07
7.121337890625e-03, 5.164572875898e+07
7.152099609375e-03, 5.163609209880e+07
7.182861328125e-03, 5.163122764638e+07
7.213623046875e-03, 5.162095816731e+07
7.244384765625e-03, 5.161468931339e+07
7.275146484375e-03, 5.160507859796e+07
7.305908203125e-03, 5.159883853999e+07
7.336669921875e-03, 5.158680870469e+07
7.367431640625e-03, 5.158067815772e+07
7.398193359375e-03, 5.157025495379e+07
7.428955078125e-03, 5.156177346049e+07
7.459716796875e-03, 5.154920142682e+07
7.490478515625e-03, 5.154312987399e+07
7.521240234375e-03, 5.153032482182e+07
7.552001953125e-03, 5.152025742071e+07
7.582763671875e-03, 5.150808394079e+07
7.613525390625e-03, 5.150059613017e+07
7.644287109375e-03, 5.148498675253e+07
7.675048828125e-03, 5.147478570660e+07
7.705810546875e-03, 5.146239900617e+07
7.736572265625e-03, 5.145181167312e+07
7.767333984375e-03, 5.143451276082e+07
7.798095703125e-03, 5.142492570208e+07
7.828857421875e-03, 5.141055262100e+07
7.859619140625e-03, 5.139663071963e+07
7.890380859375e-03, 5.137897292634e+07
7.921142578125e-03, 5.136920321665e+07
7.951904296875e-03, 5.135174493137e+07
7.982666015625e-03, 5.133538637323e+07
8.013427734375e-03, 5.131762837002e+07
8.044189453125e-03, 5.130640365696e+07
8.074951171875e-03, 5.128556625751e+07
8.105712890625e-03, 5.126733850836e+07
8.136474609375e-03, 5.124932147277e+07
8.167236328125e-03, 5.123580855933e+07
8.197998046875e-03, 5.121171145936e+07
8.228759765625e-03, 5.119163612761e+07
8.259521484375e-03, 5.117280481520e+07
8.290283203125e-03, 5.115673956442e+07
8.321044921875e-03, 5.112946420939e+07
8.351806640625e-03, 5.110725927861e+07
8.382568359375e-03, 5.108724726499e+07
8.413330078125e-03, 5.106836872744e+07
8.444091796875e-03, 5.103760066463e+07
8.474853515625e-03, 5.101318229880e+07
8.505615234375e-03, 5.099167346290e+07
8.536376953125e-03, 5.096988305551e+07
8.567138671875e-03, 5.093538175807e+07
8.597900390625e-03, 5.090840404019e+07
8.628662109375e-03, 5.088509045229e+07
8.659423828125e-03, 5.086004192617e+07
8.690185546875e-03, 5.082147436923e+07
8.720947265625e-03, 5.079179234229e+07
8.751708984375e-03, 5.076648820450e+07
8.782470703125e-03, 5.073744178762e+07
8.813232421875e-03, 5.069468121218e+07
8.843994140625e-03, 5.066275025103e+07
8.874755859375e-03, 5.063472331074e+07
8.905517578125e-03, 5.060022605691e+07
8.936279296875e-03, 5.055324674914e+07
8.967041015625e-03, 5.051979235475e+07
8.997802734375e-03, 5.048836357373e+07
9.028564453125e-03, 5.044779068998e+07
9.059326171875e-03, 5.039650808957e+07
9.090087890625e-03, 5.036119767858e+07
9.120849609375e-03, 5.032586697413e+07
9.151611328125e-03, 5.027886937100e+07
9.182373046875e-03, 5.022288565161e+07
9.213134765625e-03, 5.018506042201e+07
9.243896484375e-03, 5.014600158314e+07
9.274658203125e-03, 5.009272116001e+07
9.305419921875e-03, 5.003102309741e+07
9.336181640625e-03, 4.998943387566e+07
9.366943359375e-03, 4.994715428915e+07
9.397705078125e-03, 4.988821133296e+07
9.428466796875e-03, 4.981959675942e+07
9.459228515625e-03, 4.977330239061e+07
9.489990234375e-03, 4.972804611344e+07
9.520751953125e-03, 4.966387107750e+07
9.551513671875e-03, 4.958754530455e+07
9.582275390625e-03, 4.953548290547e+07
9.613037109375e-03, 4.948748319094e+07
9.643798828125e-03, 4.941818126418e+07
9.674560546875e-03, 4.933383513892e+07
9.705322265625e-03, 4.927506796093e+07
9.736083984375e-03, 4.922327837083e+07
9.766845703125e-03, 4.914970516321e+07
9.797607421875e-03, 4.905800874249e+07
9.828369140625e-03, 4.899077129400e+07
9.859130859375e-03, 4.893519488574e+07
9.889892578125e-03, 4.885968322907e+07
9.920654296875e-03, 4.875965612470e+07
9.951416015625e-03, 4.868043537803e+07
9.982177734375e-03, 4.862132110402e+07
1.001293945312e-02, 4.854928694794e+07
1.004370117188e-02, 4.844294062496e+07
1.007446289063e-02, 4.834574255479e+07
1.010522460937e-02, 4.827890295464e+07
1.013598632813e-02, 4.821535796343e+07
1.016674804688e-02, 4.811007868528e+07
1.019750976562e-02, 4.799246026317e+07
1.022827148438e-02, 4.791001035315e+07
1.025903320313e-02, 4.785463239954e+07
1.028979492187e-02, 4.775733356113e+07
1.032055664063e-02, 4.762806870443e+07
1.035131835938e-02, 4.752857326545e+07
1.038208007812e-02, 4.746948816153e+07
1.041284179688e-02, 4.737056379059e+07
1.044360351563e-02, 4.724186810671e+07
1.047436523437e-02, 4.714384808409e+07
1.050512695313e-02, 4.707137769619e+07
1.053588867188e-02, 4.695863136722e+07
1.056665039062e-02, 4.683264819315e+07
1.059741210938e-02, 4.673955261667e+07
1.062817382813e-02, 4.666448276244e+07
1.065893554687e-02, 4.655099153072e+07
1.068969726563e-02, 4.641725391191e+07
1.072045898438e-02, 4.631325507820e+07
1.075122070312e-02, 4.624345596699e+07
1.078198242188e-02, 4.614417118227e+07
1.081274414063e-02, 4.600659266304e+07
1.084350585937e-02, 4.588009227518e+07
1.087426757812e-02, 4.580591182850e+07
1.090502929688e-02, 4.573532529979e+07
1.093579101562e-02, 4.561336048390e+07
1.096655273437e-02, 4.545820253462e+07
1.099731445313e-02, 4.535764106395e+07
1.102807617187e-02, 4.530763432649e+07
1.105883789062e-02, 4.521544639634e+07
1.108959960938e-02, 4.506392911394e+07
1.112036132812e-02, 4.494516564968e+07
1.115112304687e-02, 4.488000898386e+07
1.118188476563e-02, 4.478194121832e+07
1.121264648437e-02, 4.465574730524e+07
1.124340820312e-02, 4.455804544845e+07
1.127416992188e-02, 4.446744607048e+07
1.130493164062e-02, 4.436249748316e+07
